City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,Puerto Ayora,-0.7393,-90.3518,78.55,95,100,4.43,EC,2022-03-31 01:23:24
150,Constitucion,-35.3333,-72.4167,54.23,63,1,10.94,CL,2022-03-31 01:23:24
151,Korla,41.7597,86.1469,43.56,54,5,6.22,CN,2022-03-31 01:23:25
152,Souillac,-20.5167,57.5167,75.58,94,75,14.97,MU,2022-03-31 01:18:40
153,Dingle,10.9995,122.6711,84.74,68,28,10.54,PH,2022-03-31 01:23:25
154,Tanout,14.9709,8.8879,71.49,4,19,10.27,NE,2022-03-31 01:23:26
155,Castro,-24.7911,-50.0119,64.98,93,100,2.84,BR,2022-03-31 01:23:26
156,Vestmannaeyjar,63.4427,-20.2734,37.8,66,83,4.92,IS,2022-03-31 01:23:27
157,Kodiak,57.79,-152.4072,38.71,93,100,12.66,US,2022-03-31 01:23:27
158,Ahipara,-35.1667,173.1667,73.62,59,20,3.44,NZ,2022-03-31 01:22:16
159,Tabuk,17.4189,121.4443,81.81,69,79,5.46,PH,2022-03-31 01:23:27
160,Catio,11.2833,-15.25,74.08,78,37,6.76,GW,2022-03-31 01:23:28
161,Bengkulu,-3.8004,102.2655,79.43,72,13,4.79,ID,2022-03-31 01:23:28
162,Madison,34.7334,-86.5667,78.6,50,75,31.07,US,2022-03-31 01:18:30
163,Lagoa,39.05,-27.9833,60.12,90,94,7.09,PT,2022-03-31 01:23:29
164,Diego De Almagro,-26.3667,-70.05,61.74,52,0,0.92,CL,2022-03-31 01:23:29
165,Lebu,-37.6167,-73.65,53.38,80,0,22.82,CL,2022-03-31 01:23:29
166,Georgetown,5.4112,100.3354,85.93,81,20,4.61,MY,2022-03-31 01:19:15
167,Trairi,-3.2778,-39.2689,76.15,90,100,8.59,BR,2022-03-31 01:23:30
168,Abrau-Dyurso,44.69,37.59,47.66,91,16,11.23,RU,2022-03-31 01:23:30
169,Richards Bay,-28.783,32.0377,71.42,78,0,8.97,ZA,2022-03-31 01:23:31
170,Saint George,37.1041,-113.5841,70.39,27,0,12.66,US,2022-03-31 01:23:31
171,Monywa,22.1167,95.1333,84.06,38,87,3.31,MM,2022-03-31 01:23:32
172,Tommot,58.9564,126.2925,23.07,86,100,4.9,RU,2022-03-31 01:23:32
173,Skelleftea,64.7507,20.9528,23.36,62,88,6.91,SE,2022-03-31 01:23:32
174,Freeport,40.6576,-73.5832,43.25,68,0,12.66,US,2022-03-31 01:23:33
175,Tiksi,71.6872,128.8694,-10.23,98,72,3.51,RU,2022-03-31 01:23:33
176,Yamoussoukro,6.8206,-5.2767,76.89,94,100,4.61,CI,2022-03-31 01:23:34
177,Houma,29.5958,-90.7195,77.0,94,100,8.05,US,2022-03-31 01:23:34
178,Rawson,-43.3002,-65.1023,52.05,59,40,4.92,AR,2022-03-31 01:20:48
179,Naryan-Mar,67.6713,53.087,-11.72,100,100,4.34,RU,2022-03-31 01:23:34
180,Hobyo,5.3505,48.5268,81.32,73,97,13.31,SO,2022-03-31 01:23:35
181,Goderich,43.7501,-81.7165,43.12,75,100,14.97,CA,2022-03-31 01:23:35
182,Tateyama,34.9833,139.8667,61.84,85,4,22.75,JP,2022-03-31 01:23:36
183,Le Port,-20.9373,55.2919,77.0,71,27,4.27,RE,2022-03-31 01:23:36
184,Lodja,-3.4833,23.4333,68.32,88,83,1.68,CD,2022-03-31 01:24:37
185,Sola,-13.8833,167.55,82.74,73,67,6.11,VU,2022-03-31 01:23:34
186,Provideniya,64.3833,-173.3,19.51,79,100,15.99,RU,2022-03-31 01:24:38
187,Necochea,-38.5473,-58.7368,55.67,55,100,18.68,AR,2022-03-31 01:24:38
188,Qasigiannguit,68.8193,-51.1922,19.65,99,95,2.98,GL,2022-03-31 01:24:38
189,Tessalit,20.1986,1.0114,79.21,4,78,10.25,ML,2022-03-31 01:24:39
190,La Ronge,55.1001,-105.2842,46.62,33,75,9.22,CA,2022-03-31 01:23:37
191,Paamiut,61.994,-49.6678,27.95,84,100,4.5,GL,2022-03-31 01:24:39
192,Tilichiki,60.4667,166.1,12.99,75,100,8.23,RU,2022-03-31 01:24:40
193,Kachiry,53.0675,76.1036,35.11,78,100,19.46,KZ,2022-03-31 01:24:40
194,Kutum,14.2,24.6667,65.91,8,100,7.52,SD,2022-03-31 01:24:41
195,Bara,10.3744,10.7288,75.92,11,99,7.2,NG,2022-03-31 01:22:12
196,Cap-Aux-Meules,47.3821,-61.8597,32.05,80,40,17.27,CA,2022-03-31 01:24:01
197,Kalispell,48.1958,-114.3129,49.28,43,75,17.27,US,2022-03-31 01:21:50
198,Upernavik,72.7868,-56.1549,12.74,86,46,6.64,GL,2022-03-31 01:24:42
199,Slave Lake,55.2834,-114.769,46.38,53,100,19.57,CA,2022-03-31 01:24:42
200,Luebo,-5.35,21.4167,68.94,98,99,1.99,CD,2022-03-31 01:24:42
201,Ponta Delgada,37.7333,-25.6667,57.92,88,20,2.3,PT,2022-03-31 01:24:43
202,Fredericksburg,38.3032,-77.4605,60.12,52,100,6.91,US,2022-03-31 01:24:43
203,Srandakan,-7.9386,110.2506,81.73,74,95,0.72,ID,2022-03-31 01:24:43
204,Margate,51.3813,1.3862,40.69,80,100,10.0,GB,2022-03-31 01:20:59
205,Brae,60.3964,-1.353,37.76,62,97,18.59,GB,2022-03-31 01:24:44
206,Myaundzha,63.0494,147.1858,3.24,63,100,3.76,RU,2022-03-31 01:24:44
207,Cap Malheureux,-19.9842,57.6142,78.48,78,49,10.0,MU,2022-03-31 01:24:45
208,Odweyne,9.4092,45.064,66.51,32,44,4.9,SO,2022-03-31 01:24:45
209,Bethel,41.3712,-73.414,39.29,57,0,5.75,US,2022-03-31 01:24:45
210,Haines Junction,60.7522,-137.5108,39.15,56,100,9.22,CA,2022-03-31 01:24:46
211,Arraial Do Cabo,-22.9661,-42.0278,76.96,88,0,6.91,BR,2022-03-31 01:24:46
212,Xining,36.6167,101.7667,36.39,39,100,3.53,CN,2022-03-31 01:24:47
