City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Port Elizabeth,ZA,-34.5322,20.0403,59.61,82,100,3.22,overcast clouds
162,Kodiak,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
163,Narsaq,GL,69.2167,-51.1,19.42,93,100,3.44,overcast clouds
164,Nanortalik,GL,69.2167,-51.1,19.42,93,100,3.44,overcast clouds
165,Provideniya,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
166,Tumannyy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
167,Daru,PG,-9.0763,143.2092,85.37,69,68,7.58,broken clouds
168,Deputatskiy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
169,Dunedin,NZ,-46.6,168.3333,62.29,80,100,8.19,overcast clouds
170,Portland,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
171,Raga,PH,7.9986,124.2928,79.27,71,10,3.98,clear sky
172,Armacao Dos Buzios,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
173,Ponta Do Sol,PT,32.65,-17.0667,63.05,79,0,3.11,clear sky
174,Belyy Yar,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
175,Bireun,ID,-3.8004,102.2655,84.38,66,44,8.41,scattered clouds
176,Belushya Guba,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
177,Arani,US,37.7799,-121.978,54.64,82,20,10.36,few clouds
178,Nome,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
179,Ostrovnoy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
180,Vetlanda,SE,56.6616,16.3616,27.97,88,1,4.61,clear sky
181,Rocha,UY,-33.6971,-53.4616,52.57,67,22,10.87,few clouds
182,Nuuk,GL,69.2167,-51.1,19.42,93,100,3.44,overcast clouds
183,Sentyabrskiy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
184,Male,MV,6.6221,73.07,83.25,71,49,4.03,scattered clouds
185,Hualmay,PE,-10.0681,-78.1522,70.66,84,100,10.6,overcast clouds
186,Katsuura,JP,24.8,125.2833,75.13,87,0,7.18,clear sky
187,Tyrma,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
188,Kaseda,JP,24.8,125.2833,75.13,87,0,7.18,clear sky
189,Severnoye,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
190,Lebu,CL,-53.15,-70.9167,50.11,57,75,11.5,broken clouds
191,Talnakh,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
192,Solnechnyy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
193,Batticaloa,LK,7.7102,81.6924,80.31,76,8,3.06,clear sky
194,Pak Chong,TH,14.708,101.4161,90.21,52,54,8.99,broken clouds
195,Kukes,AL,40.1514,20.5972,44.47,97,100,5.55,overcast clouds
196,Guanica,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
197,Kapit,MY,6.0333,102.2833,85.62,69,96,3.69,overcast clouds
198,Kruisfontein,ZA,-34.5322,20.0403,59.61,82,100,3.22,overcast clouds
199,Ingham,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
200,Prainha,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
201,Carbonia,IT,39.1672,8.5222,57.85,93,99,13.51,overcast clouds
202,Avarua,CK,-21.2078,-159.775,84.25,79,20,9.22,few clouds
203,Novo Aripuana,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
204,Xinqing,CN,25.4833,103.7833,58.05,78,90,10.87,overcast clouds
205,Evensk,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
206,Alvaraes,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
207,Walvis Bay,NA,-26.6481,15.1594,61.56,66,0,14.34,clear sky
208,Siddipet,IN,23.1167,83.2,91.51,8,9,4.76,clear sky
209,Itoman,JP,24.8,125.2833,75.13,87,0,7.18,clear sky
210,Laguna,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
211,Tecoanapa,CL,-35.3333,-72.4167,54.3,53,0,6.89,clear sky
212,Perth,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
213,Nyrob,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
214,Alepe,CI,5.5004,-3.6631,82.27,93,40,3.02,scattered clouds
215,Bahar,IR,37.3807,55.4916,60.66,36,73,6.15,broken clouds
216,Yorkton,CA,51.2167,-102.4677,11.26,96,33,4.94,scattered clouds
217,Raudeberg,NO,70.8578,29.0864,24.8,70,100,17.96,light snow
218,Almeirim,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
219,Kuandian,CN,25.4833,103.7833,58.05,78,90,10.87,overcast clouds
220,Norman Wells,CA,51.2167,-102.4677,11.26,96,33,4.94,scattered clouds
221,Beloha,MG,-25.1667,45.05,65.8,87,0,7.78,clear sky
222,Los Algarrobos,PA,8.5,-82.4333,75.61,94,20,1.14,few clouds
223,Mpika,ZM,-11.8343,31.4529,61.38,96,98,9.08,overcast clouds
224,Peniche,PT,39.05,-27.9833,59.86,90,98,6.71,overcast clouds
225,Pisco,PE,-10.0681,-78.1522,70.66,84,100,10.6,overcast clouds
226,Avera,PF,-9.8,-139.0333,79.11,73,23,12.66,few clouds
227,Thinadhoo,MV,6.6221,73.07,83.25,71,49,4.03,scattered clouds
228,Tortoli,IT,39.1672,8.5222,57.85,93,99,13.51,overcast clouds
229,Upernavik,GL,69.2167,-51.1,19.42,93,100,3.44,overcast clouds
230,Mangan,IN,23.1167,83.2,91.51,8,9,4.76,clear sky
231,Paka,MY,6.0333,102.2833,85.62,69,96,3.69,overcast clouds
232,Kurashiki,JP,24.8,125.2833,75.13,87,0,7.18,clear sky
233,Ancud,CL,-53.15,-70.9167,50.11,57,75,11.5,broken clouds
234,Itarema,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
235,Balkanabat,TM,42.0551,59.3788,46.94,32,30,9.42,scattered clouds
236,Tiarei,PF,-9.8,-139.0333,79.11,73,23,12.66,few clouds
237,Yefremov,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
238,Sokoni,TZ,-7.9139,39.6668,77.67,86,93,8.43,moderate rain
239,Bam,IR,37.3807,55.4916,60.66,36,73,6.15,broken clouds
