City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Tabou,CI,82.27,scattered clouds,5.5004,-3.6631,BENENE 1
434,Sun City West,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
435,Winslow,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
437,Saint George,US,75.97,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
439,Kulu,IN,91.51,clear sky,23.1167,83.2,Hotel Birendra Prabha
441,Eirunepe,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
442,Port Lincoln,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
445,Bikramganj,IN,91.51,clear sky,23.1167,83.2,Hotel Birendra Prabha
453,Samarai,PG,85.37,broken clouds,-9.0763,143.2092,Daru Lodge
455,Buala,SB,84.25,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
459,Kutoarjo,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
464,Kawalu,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
466,Quelimane,MZ,71.64,light rain,-17.8786,36.8883,Hotel Flamingo
472,Bubaque,GW,75.15,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
476,Arroyo,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
479,Trincomalee,LK,80.31,clear sky,7.7102,81.6924,Grand Star Guest House
480,Pedasi,PA,75.61,few clouds,8.5,-82.4333,Waterfall Hostel
486,Nyalikungu,TZ,77.67,moderate rain,-7.9139,39.6668,Bustani B&B
491,Dana Point,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
492,Matara,LK,80.31,clear sky,7.7102,81.6924,Grand Star Guest House
494,Acajutla,SV,80.44,broken clouds,13.5928,-89.8275,Laureles
495,Omboue,GA,80.17,broken clouds,-0.7193,8.7815,Fengshui Residence
497,Dingle,AU,78.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
498,Clarksdale,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
502,Bobo Dioulasso,BF,83.32,scattered clouds,11.1771,-4.2979,IBA Hotel
503,Morgan City,US,78.53,very heavy rain,19.7297,-155.09,Hilo Hawaiian Hotel
504,Bardiyah,LY,72.57,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
505,Union,PH,88.5,scattered clouds,16.2167,121.6,D' Fields Travellers Place
506,Lorengau,PG,85.37,broken clouds,-9.0763,143.2092,Daru Lodge
508,Nelson Bay,AU,78.35,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
511,Pauini,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
515,Luwuk,ID,84.38,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
